College Name,City
IIIT Allahabad - Indian Institute of Information Technology Allahabad,NULL
NIT Goa - National Institute of Technology Goa,NULL
NIT Agartala - National Institute of Technology Agartala,NULL
IIT Dharwad - Indian Institute of Technology Dharwad,NULL
Andhra University College of Engineering,Visakhapatnam
NIT Manipur (NITMN) - National Institute of Technology Manipur,NULL
RVCE Bangalore - RV College of Engineering,Bangalore
IIITDM Jabalpur - PDPM Indian Institute of Information Technology Design and Manufacturing Jabalpur,NULL
SR University,Warangal
Amity University Gurgaon - Amity University,Gurugram
CV Raman Global University,Bhubaneswar
Vels University Chennai - Vel's Institute of Science Technology and Advanced Studies,Chennai
VNR VJIET Hyderabad - VNR Vignana Jyothi Institute of Engineering and Technology,Hyderabad
SIT Tumkur - Siddaganga Institute of Technology,Tumkur
PSGITECH Coimbatore - PSG Institute of Technology and Applied Research,Coimbatore
NIFTEM-T - National Institute of Food Technology Entrepreneurship and Management,Thanjavur
Anurag University - Anurag University,Hyderabad
NMAM Institute of Technology,Karkala Taluk
PEC Chandigarh - Punjab Engineering College,Chandigarh
JNTUK Kakinada - Jawaharlal Nehru Technological University,Kakinada
IIITDM Kancheepuram - Indian Institute of Information Technology Design and Manufacturing Kancheepuram,NULL
Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College,Chennai
RVS College of Engineering and Technology,Coimbatore
REC Ambedkar Nagar - Rajkiya Engineering College,Ambedkar Nagar
REC Azamgarh - Rajkiya Engineering College,Azamgarh
Dr Bhimrao Ambedkar Engineering College of Information Technology,Bijnor
REC Banda - Rajkiya Engineering College,Banda
CERT Meerut - College of Engineering and Rural Technology,Meerut
Babu Mohan Lal Arya Smarak Engineering College,Agra
Global College of Engineering and Technology,Ropar
Pragna Bharath Institute of Technology,Ranga Reddy
ANUCET Guntur - ANU College of Engineering and Technology,Guntur
Guru Nanak Institute of Technology,Ambala
Bimla Devi Educational Societys Group of Institutions JB Knowledge Park,Faridabad
School of Research and Technology People's University,Bhopal
UPTTI Kanpur - UP Textile Technology Institute,Kanpur
UIET Kanpur - University Institute of Engineering and Technology CSJMU,Kanpur
LDCE Ahmedabad - LD College of Engineering,Ahmedabad
Vaageshwari College of Engineering,Karim Nagar
Sree Visvesvaraya Institute of Technology and Science,Mahabubnagar
Rao and Naidu Engineering College,Ongole
Shri S'ad Vidya Mandal Institute of Technology,Bharuch
GEC Bhavnagar - Government Engineering College,Bhavnagar
Sri Krishna School of Engineering and Management,Bangalore
BIT Deoghar - Birla Institute of Technology Extension Centre,Deoghar
Sir M Visvesvaraya Institute of Technology,Bangalore
SJPN Trust's Hirasugar Institute of Technology,Belgaum
IPS Academy Indore - Institute of Engineering and Science IPS Academy,Indore
IICT Bhadohi - Indian Institute of Carpet Technology,Bhadohi
HR Institute of Technology,Ghaziabad
DN Patel College of Engineering,Nandurbar
CUIET Malappuram - Calicut University Institute of Engineering Technology,Malappuram
Younus College of Engineering and Technology,Kollam
YITS Tirupati - Yogananda Institute of Technology and Science,Tirupati
Yellamma Dasappa Institute of Technology,Bangalore
YIT Jaipur - Yagyavalkya Institute of Technology,Jaipur
Yaduvanshi College of Engineering and Technology,Mahendergarh
Yadavrao Tasgaonkar College of Engineering and Management,Raigad
WCTM Gurgaon - World College of Technology and Management,Gurgaon
Women's Institute of Engineering and Technology,Sitapur
Wellfare Institute of Science Technology and Management,Visakhapatnam
Walchand College of Engineering,Sangli
VMR Institute of Technology and Management Sciences,Medchal
Vivekananda Institute of Technology,Bangalore
VITS Ghaziabad - Vivekanand Institute of Technology and Science,Ghaziabad
VESIT Mumbai - Vivekanand Education Society's Institute of Technology,Chembur
Vivekananda Institute of Technology,Bhubaneswar
Vision Institute of Technology,Kanpur
VITS Indore - Vindhya Institute of Technology and Science,Indore
VMKVEC Salem - Vinayaka Mission's Kirupananda Variyar Engineering College,Salem
Vilasrao Deshmukh Foundation Group of Institutions- School of Engineering and Technology,Latur
Sangam University,Bhilwara
Monad University,Hapur
Sri Vasavi Institute of Engineering and Technology,Peravali
Rajiv Gandhi Institute of Information Technology,Amethi
HL Agrawal College of Engineering,Itarsi
Adikavi Nannaya University,Rajahmundry
Dr BR Ambedkar University,Srikakulam
DBRAU Agra - Dr BR Ambedkar University,Agra
Gautam Buddha University,Greater Noida
Sardar Vallabhbhai Patel University of Agriculture and Technology,Meerut
Sri Venkateswara Veterinary University,Tirupati
Suresh Gyan Vihar University,Jaipur
William Carey University,Shillong
Dr Shakuntala Misra National Rehabilitation University,Lucknow
IIT Goa - Indian Institute of Technology Goa,NULL
Indian Maritime University,Mumbai Port Campus
NICMAR Pune - NICMAR University,Pune
Adamas University,Kolkata
Ajeenkya DY Patil University,Pune
Amity University,Mumbai
CU Shah University,Surendranagar
Madhav University,Sirohi
Maulana Azad University,Jodhpur
SRM University,Sikkim
Indian Maritime University,Kolkata Campus
Kamal Institute of Technology,Kanpur
JS University,Shikohabad
SRM University AP,Amaravati
Vaugh Institute of Agricultural Engineering and Technology,Allahabad
IIHT Salem - Indian Institute of Handloom Technology,Salem
University of Technology,Jaipur
Sister Nivedita University,Kolkata
FET MRIIRS - Faculty of Engineering and Technology Manav Rachna International Institute of Research and Studies,Faridabad
VPMs Maharshi Parshuram College of Engineering,Ratnagiri
BSCOER Narhe Pune - TSSM's Bhivarabai Sawant College of Engineering and Research,Pune
SKN Sinhgad Institute of Technology and Science,Lonavala
Sipna College of Engineering and Technology,Amravati
RH Sapat College of Engineering Management Studies and Research,Nashik
Dr DY Patil Institute of Engineering Management and Research,Pune
RGIT Mumbai - MCTs Rajiv Gandhi Institute of Technology,Mumbai
Maulana Mukhtar Ahmad Nadvi Technical Campus,Nashik
JD College of Engineering and Management,Nagpur
GECA Aurangabad - Government College of Engineering,Aurangabad
Ajeenkya DY Patil School of Engineering,Pune
Dr DY Patil School of Engineering and Technology,Pune
Dr Annasaheb Shinde College of Agricultural Engineering and Technology,Ahmednagar
Dnyanshree Institute of Engineering and Technology,Satara
Bhagwant Institute of Technology,Solapur
VSA Group of Institutions,Salem
Vidyaa Vikas College of Engineering and Technology,Tiruchengode
Vaigai College of Engineering,Madurai
Stella Mary's College of Engineering,Kanyakumari
Srinivasa Ramanujan Centre,Thanjavur
Sri Krishna Institute of Technology,Chennai
Sasurie Academy of Engineering,Coimbatore
NPR College of Engineering and Technology,Dindigul
KSK College of Engineering and Technology,Cuddalore
Dhanalakshmi Srinivasan Institute of Technology,Tiruchirappalli
Dhanalakshmi Srinivasan Institute of Research and Technology,Perambalur
Balamani Arunachalam Engineering College,Kancheepuram
Annai Mira College of Engineering and Technology,Vellore
Alpha College of Engineering,Chennai
Agricultural Engineering College and Research Institute,Kumulur
Panineeya Institute of Technology and Science,Hyderabad
BVRIT Hyderabad - BVRIT Hyderabad College of Engineering for Women,Hyderabad
Pratnam Rajendar Reddy Memorial College,Shabad
NOVA College of Engineering and Technology,Jangareddygudem
ISL Engineering College,Hyderabad
DRK College of Engineering and Technology,Hyderabad
Sri Taralbalu Jagadguru Institute of Technology,Haveri
PDIT Hospet - Proudadevaraya Institute of Technology,Hospet
HKE Society's SLN College of Engineering,Raichur
Government Sri Krishnarajendra Silver Jubilee Technological Institute,Bangalore
Government Engineering College,Ramanagara
Government Engineering College,Coorg
Sir JC Bose School of Engineering,Hooghly
OmDayal Group of Institutions,Howrah
Sardar Patel College of Technology,Balaghat
Sagar Institute of Science Technology and Engineering,Bhopal
LNCT Bhopal - Lakshmi Narain College of Technology,Bhopal
LNCT Jabalpur - Lakshmi Narain College of Technology,Jabalpur
St Thomas Institute for Science and Technology,Thiruvananthapuram
SJCET Palai - St Joseph's College of Engineering and Technology,Palai
Jai Bharath College of Management and Engineering Technology,Perumbavoor
ILM College of Engineering and Technology,Ernakulam
GEC Wayanad - Government Engineering College,Wayanad
GEC Idukki - Government Engineering College,Idukki
School of Engineering CUSAT - School of Engineering Cochin University of Science and Technology,Ernakulam
Cochin University College of Engineering,Kuttanad
CISAT Muvattupuzha - Cochin Institute of Science and Technology,Ernakulam
Don Bosco College of Engineering and Technology,Guwahati
Universal Institute of Engineering and Technology,Mohali
Sri Sai College of Engineering and Technology,Pathankot
Institute of Engineering and Technology,Bhaddal
CT Institute of Technology,Jalandhar
Bharat Institute of Engineering and Technology,Mansa
Adesh Institute of Technology,Gharuan
Vedic Gurukul Institute of Engineering and Technology,Jaipur
RN Modi Engineering College,Kota
MJRP College of Engineering and Technology,Jaipur
Alard College of Engineering and Management,Pune
Al Ameer College of Engineering and Information Technology,Visakhapatnam
Al-Ameen Engineering College,Palakkad
Al-Falah School of Engineering and Technology,Faridabad
Al-Ameen Engineering College,Erode
Akula Sreeramulu College of Engineering,Tanuku
Akido College of Engineering,Bahadurgarh
ABIT Cuttack - Ajay Binay Institute of Technology,Cuttack
Ahmedabad Institute of Technology,Ahmedabad
Agnel Institute of Technology and Design,Goa
ACTM Palwal - Advanced College of Technology and Management,Palwal
Aditya Engineering College,Beed
AIT Chikmagalur - Adichunchanagiri Institute of Technology,Chikmagalur
ASIET Kalady - Adi Shankara Institute of Engineering and Technology,Kalady
Adamas Institute of Technology,North 24 Parganas
Shivajirao Kadam Institute of Technology and Management,Indore
AITR Indore - Acropolis Institute of Technology and Research,Indore
ACET Pondicherry - Achariya College of Engineering Technology,Puducherry
ACE Engineering College,Ghatkesar
ABSS Institute of Technology,Meerut
ABR College of Engineering and Technology,Prakasam
Abhinav Education Society's College of Engineering and Technology,Wadwadi
Abdulkalam Institute of Technological Sciences,Khammam
Abacus Institute of Engineering and Management,Hooghly
Aalim Muhammed Salegh College of Engineering,Chennai
A1 Global Institute of Engineering and Technology,Prakasam
ARJ College of Engineering and Technology,Tiruvarur
AR Engineering College,Villupuram
AGM Rural College of Engineering and Technology,Hubli
ACT College of Engineering and Technology,Kancheepuram
Rajshree Institute of Management and Technology,Bareilly
KIT Tiptur - Kalpataru Institute of Technology,Tumkur
UCE Thodupuzha - University College of Engineering,Thodupuzha
COAET Ludhiana - College of Agricultural Engineering and Technology Punjab Agricultural University,Ludhiana
Anupama College of Engineering,Gurgaon
Gurgaon College of Engineering for Women,Gurgaon
Bhubaneshwar Institute of Industrial Technology,Bhubaneswar
RSRRCET Bhilai - RSR Rungta College of Engineering and Technology,Bhilai
RN College of Engineering and Technology,Panipat
Bhubaneswar College of Engineering,Khordha
Indus Institute of Technology and Engineering,Ahmedabad
ANA College of Engineering and Management Studies,Bareilly
Faculty of Engineering and Technology Agra College,Agra
Nitra Technical Campus,Ghaziabad
JNTUH College of Engineering,Manthani
Global College of Technology,Jaipur
College of Agricultural Engineering Acharya NG Ranga Agricultural University,Rajendranagar
CAE Madakasira - College of Agricultural Engineering Acharya NG Ranga Agricultural University,Madakasira
JRE Group of Institutions,Greater Noida
Rajarshi Rananjay Singh Institute of Management and Technology,Amethi
Engineering College,Ajmer
Career Point Technical Campus,Rajsamand
University School of Bio-Technology,Delhi
Vardey Devi Institute of Engineering and Technology,Jind
Shree Ram Institute of Engineering and Technology,Yamuna Nagar
UIET Kurukshetra - University Institute of Engineering and Technology Kurukshetra University,Kurukshetra
Maharana Pratap Institute of Technology and Management,Mahendergarh
DR College of Engineering and Technology,Panipat
Shri Krishan Institute of Engineering and Technology,Kurukshetra
NC Institute of Technology,Israna
RN College of Engineering and Management,Rohtak
Delhi Global Institute of Technology,Jhajjar
BMIET Sonepat - BM Institute of Engineering and Technology,Sonepat
MG Institute of Engineering and Technology,Mandi
Amiraj College of Engineering and Technology,Ahmedabad
GIDC Degree Engineering College,Navsari
Smt SR Patel Engineering College,Unjha
GCET Anand - GH Patel College of Engineering and Technology,Anand
Shree Kankeshwari Deviji Institute of Technology,Jamnagar
Aurum Institute of Technology,Rajkot
RCIT Palamu - Ramachandra Chandravansi Institute of Technology,Palamu
KK College of Engineering and Management,Dhanbad
Vishwavidyalaya Engineering College Sarguja University,Surguja
KEC Bhilai - Krishna Engineering College,Bhilai
Shri Shankaracharya Institute of Professional Management and Technology,Raipur
Institute of Technology,Korba
GEC Raipur - Government Engineering College,Raipur
Bharti College of Agricultural Engineering,Durg
Dr APJ Abdul Kalam Women's Institute of Technology,Darbhanga
Netaji Subhas University of Technology West Campus,Delhi
Institute of Advanced Management and Technology,Meerut
Dr MC Saxena Institute of Engineering and Management,Lucknow
Bhagwant Institute of Technology,Ghaziabad
ACE College of Engineering and Management,Agra
IET Agra - Institute of Engineering and Technology Dr BR Ambedkar University,Agra
DNM Institute of Engineering and Technology,Lucknow
Nandini Nagar Technical Campus,Gonda
Dr Govind Prasad Rani Devi Patel Institute of Technology and management,Kanpur
DBGI Saharanpur - Dev Bhoomi Group of Institutions,Saharanpur
RVIT Bijnor - RV Institute of Technology,Bijnor
Millennium Institute of Technology,Saharanpur
KLS Institute of Engineering and Technology,Bijnor
NVPEMI Kanpur - Naraina Vidya Peeth Engineering and Management Institute,Kanpur
Prasad Institute of Management and Technology,Lucknow
Institute of Engineering and Management,Mathura
United Institute of Technology,Allahabad
JPIET Meerut - JP Institute of Engineering and Technology,Meerut
RD Engineering College,Ghaziabad
Divya Jyoti College of Engineering and Technology,Modinagar
PCCS Noida - Priyadarshani College of Computer Sciences,Greater Noida
MB College of Engineering and Technology Mohan Babu University,Tirupati
PEC Puducherry - Puducherry Technological University,Puducherry
IARE Hyderabad - Institute of Aeronautical Engineering,Dundigal
Tezpur University - Tezpur University,Tezpur
AIT Pune - Army Institute of Technology,Pune
VIT Pune - Vishwakarma Institute of Technology,Pune
RIT Chennai - Rajalakshmi Institute of Technology,Chennai
Vardhaman College of Engineering,Hyderabad
CVR College of Engineering,Hyderabad
NERIST Nirjuli - North Eastern Regional Institute of Science and Technology,Nirjuli
NHCE Bangalore - New Horizon College of Engineering,Bangalore
Easwari Engineering College,Chennai
NMIT Bangalore - Nitte Meenakshi Institute of Technology,Bangalore
MSU Baroda - Maharaja Sayajirao University of Baroda,Vadodara
RCOEM Nagpur - Shri Ramdeobaba College of Engineering and Management,Nagpur
GHRCE Nagpur - GH Raisoni College of Engineering,Nagpur
PESCE Mandya - PES College of Engineering,Mandya
Sona College of Technology,Salem
JUIT Solan - Jaypee University of Information Technology,Solan
RMK Engineering College,Thiruvallur
College of Engineering,Trivandrum
NIT Sikkim - National Institute of Technology Sikkim,NULL
CIT Chennai - Chennai Institute of Technology,Chennai
DEI Agra - Dayalbagh Educational Institute,Agra
CBIT Hyderabad - Chaitanya Bharathi Institute of Technology,Hyderabad
VRSEC Vijayawada - Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada
Mahindra University,Hyderabad
GLA University,Mathura
Annamalai University - Annamalai University,Annamalai Nagar
KGEC Nadia - Kalyani Government Engineering College,Nadia
Late GN Sapkal College of Engineering,Nashik
KIRC Kalol - Kalol Institute of Technology and Research Centre,Kalol
Kalasalingam Institute of Technology,Virudhunagar
Kakatiya Institute of Technology and Science for Women,Nizamabad
KNP Bhopal - Kailash Narayan Patidar College of Science and Technology,Bhopal
KSRCT Tiruchengode - KS Rangasamy College of Technology,Tiruchengode
KSSEM Bangalore - KS School of Engineering and Management,Bangalore
KR Gouri Amma College of Engineering,Alappuzha
KP Engineering College,Agra
KNSIT Bangalore - KNS Institute of Technology,Bangalore
KLEIT Hubli - KLE Institute of Technology,Hubli
KG Reddy College of Engineering and Technology,Moinabad
KK Wagh Institute of Engineering Education and Research,Nashik
JSPM Narhe Technical Campus,Pune
John Bosco Engineering College,Tiruvallur
Joginpally B R Engineering College,Moinabad
JIET Jodhpur - Jodhpur Institute of Engineering and Technology,Jodhpur
JNN Institute of Engineering,Tiruvallur
JCE Chennai - Jerusalem College of Engineering,Chennai
Jeppiaar Institute of Technology,Kunnam
IIT Madras - Indian Institute of Technology Madras,NULL
IIT Delhi - Indian Institute of Technology Delhi,NULL
IIT Bombay - Indian Institute of Technology Bombay,NULL
IIT Kanpur - Indian Institute of Technology Kanpur,NULL
IIT Roorkee - Indian Institute of Technology Roorkee,NULL
IIT Kharagpur - Indian Institute of Technology Kharagpur,NULL
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,NULL
IIT Hyderabad - Indian Institute of Technology Hyderabad,NULL
NIT Trichy - National Institute of Technology Tiruchirappalli,NULL
Jadavpur University,Kolkata
VIT Vellore - Vellore Institute of Technology,Vellore
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,NULL
IIT Indore - Indian Institute of Technology Indore,NULL
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,NULL
NIT Rourkela - National Institute of Technology Rourkela,NULL
IIT (ISM) Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,NULL
IIT Gandhinagar - Indian Institute of Technology Gandhinagar,NULL
Thapar University - Thapar Institute of Engineering and Technology,Patiala
NIT Warangal - National Institute of Technology Warangal,NULL
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,NULL
NIT Calicut - National Institute of Technology Calicut,NULL
ICT Mumbai - Institute of Chemical Technology,Mumbai
BITS Pilani - Birla Institute of Technology and Science,Pilani
JMI New Delhi - Jamia Millia Islamia,New Delhi
Siksha 'O' Anusandhan,Bhubaneswar
SRM University Chennai - SRM Institute of Science and Technology,Chennai
DTU Delhi - Delhi Technological University,Delhi
IIT Jodhpur - Indian Institute of Technology Jodhpur,NULL
Amity University,Noida
IIT Mandi - Indian Institute of Technology Mandi,NULL
SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy,Thanjavur
IIEST Shibpur - Indian Institute of Engineering Science and Technology Shibpur,NULL
Kalasalingam Academy of Research and Education,Virudhunagar
MNIT Jaipur - Malaviya National Institute of Technology Jaipur,NULL
Chandigarh University - Chandigarh University,Chandigarh
KIIT University - Kalinga Institute of Industrial Technology,Bhubaneswar
NIT Silchar - National Institute of Technology Silchar,NULL
IIT Patna - Indian Institute of Technology Patna,NULL
VNIT Nagpur - Visvesvaraya National Institute of Technology Nagpur,NULL
NIT Durgapur - National Institute of Technology Durgapur,NULL
KL University Guntur - Koneru Lakshmaiah Education Foundation,Guntur
SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam
NIT Jalandhar - Dr B R Ambedkar National Institute of Technology Jalandhar,NULL
IIT Bhubaneswar - Indian Institute of Technology Bhubaneswar,NULL
IIST Thiruvananthapuram - Indian Institute of Space Science and Technology,Thiruvananthapuram
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,NULL
LPU Jalandhar - Lovely Professional University,Phagwara
NIT Delhi - National Institute of Technology Delhi,NULL
Visvesvaraya Technological University,Belagavi
Birla Institute of Technology Mesra (BIT Mesra) - Birla Institute of Technology,Mesra
NCU - The NorthCap University,Gurgaon
GRIET Hyderabad - Gokaraju Rangaraju Institute of Engineering and Technology,Hyderabad
NIT Uttarakhand (NIT UK) - National Institute of Technology Uttarakhand,NULL
NIT Hamirpur (NITH) - National Institute of Technology Hamirpur,NULL
HITS Chennai - Hindustan Institute of Technology and Science,Chennai
TCE Madurai - Thiagarajar College of Engineering,Madurai
CIT Coimbatore - Coimbatore Institute of Technology,Coimbatore
KPRIET Coimbatore - KPR Institute of Engineering and Technology,Coimbatore
Shoolini University Solan - Shoolini University of Biotechnology and Management Sciences,Solan
Karunya University - Karunya Institute of Technology and Sciences,Coimbatore
BMSCE Bangalore - BMS College of Engineering,Bangalore
NIET Greater Noida - Noida Institute of Engineering and Technology,Greater Noida
MAKAUT Kolkata - Maulana Abul Kalam Azad University of Technology,Kolkata
Sri Krishna College of Technology,Coimbatore
NIT Jamshedpur - National Institute of Technology Jamshedpur,NULL
SMVDU Katra - Shri Mata Vaishno Devi University,Katra
Mepco Schlenk Engineering College,Sivakasi
YMCA Faridabad - JC Bose University of Science and Technology YMCA,Faridabad
VJTI Mumbai - Veermata Jijabai Technological Institute,Mumbai
PES University,Bangalore
Galgotias University - Galgotias University,Greater Noida
University College of Engineering Osmania University,Hyderabad
JIIT Noida - Jaypee Institute of Information Technology,Noida
Amity University,Jaipur
BSAU Chennai - BS Abdur Rahman Crescent Institute of Science and Technology,Chennai
Nirma University - Nirma University,Ahmedabad
NIT Puducherry - National Institute of Technology Puducherry Karaikal,NULL
CEC Landran - Chandigarh Engineering College Landran Campus,Mohali
KEC Erode - Kongu Engineering College,Erode
VSSUT Sambalpur - Veer Surendra Sai University of Technology,Sambalpur
NIT Arunachal Pradesh - National Institute of Technology Arunachal Pradesh,NULL
Kumaraguru College of Technology,Coimbatore
SLIET Longowal - Sant Longowal Institute of Engineering and Technology,Longowal
NIFTEM Sonepat - National Institute of Food Technology Entrepreneurship and Management,Sonepat
NIFFT Ranchi - National Institute of Advanced Manufacturing Technology,Ranchi
NIE Mysore - The National Institute of Engineering,Mysore
RAIT Navi Mumbai - Ramrao Adik Institute of Technology,Navi Mumbai
JSS Science and Technology University,Mysuru
IGDTUW Delhi - Indira Gandhi Delhi Technical University for Women,Delhi
IEM Kolkata - Institute of Engineering and Management,Kolkata
GL Bajaj Institute of Technology and Management,Greater Noida
Amity University,Gwalior
CMRIT Bangalore - CMR Institute of Technology,Bangalore
IIIT Guwahati - Indian Institute of Information Technology,Guwahati
GCET Greater Noida - Galgotias College of Engineering and Technology,Greater Noida
KIET Group of Institutions Ghaziabad (KIET Ghaziabad) - KIET Group of Institutions,Ghaziabad
Sharda University - Sharda University,Greater Noida
SVCE Sriperumbudur - Sri Venkateswara College of Engineering,Sriperumbudur
Sri Sai Ram Engineering College,Chennai
Jaipur Institute of Technology- Group of Institutions,Jaipur
Shekhawati Girls Engineering College,Dundlod
Laxmi Narayan Institute of Technology,Gwalior
NRI College of Engineering and Management,Gwalior
Rajeev Gandhi Prodyogiki Mahavidyalaya-2,Bhopal
Satyam Education and Social Welfare society Group of Institution's Satyam College,Bhopal
Truba College of Science and Technology,Bhopal
AITS Hyderabad - Annamacharya Institute of Technology and Science,Ranga Reddy
GVVR Institute of Technology,Bhimavaram
JJ Institution of Information Technology,Hyderabad
Nimra Womens College of Engineering,Vijayawada
Ramireddy Subbarami Reddy Engineering College,Nellore
Sri Sivani Institute of Technology,Srikakulam
Om Institute of Technology,Shahera
SDIT Mangalore - Shree Devi Institute of Technology,Mangalore
SDNCRES's Late Narayandas Bhawandas Chhabada Institute of Engineering and Technology,Satara
Shri Shankaracharya Institute of Engineering and Technology,Durg
Musaliar College of Engineering,Thiruvananthapuram
Dr DY Patil Biotechnology and Bioinformatics Institute,Navi Mumbai
SSE Chennai - Saveetha School of Engineering,Chennai
Shree Pandit Nathulalji Vyas Technical Campus,Surendranagar
Vishveshwarya Institute of Technology,Gautam Buddh Nagar
Priyadarshini Institute of Technology,Nellore
Tirumala Engineering College,Narasaraopet
Aurora's Technological Institute,Ranga Reddy
Vignana Bharathi Institute of Technology,Proddatur
Ramanadatirtha Engineering College,Nalgonda
Rungta Engineering College,Bhilai
Pinnacle School of Engineering and Technology,Anchal
Crescent College of Technology,Bhopal
Nowgong Engineering College Chhatarpur - Engineering College Nowgong,Chhatarpur
Surya College of Engineering,Tiruchirappalli
Swarnandhra Institute of Engineering and Technology,Narasapur
Priyadarshini Institute of Technology and Management,Guntur
JNTUH College of Engineering,Sultanpur
Orissa Engineering College,Jatni
Model Institute of Education and Research,Jammu
BMIT Jaipur - Baldev Ram Mirdha Institute of Technology,Jaipur
Sri Vidya Vinayaka Institute of Technology,Bangalore
RBMI Bareilly - Rakshpal Bahadur Management Institute,Bareilly
Lloyd Institute of Management and Technology,Greater Noida
Sitarambhai Naranji Patel Institute of Technology and Research Centre,Surat
SVCET Srikakulam - Sri Venkateswara College of Engineering and Technology,Etcherla
CSMSS CHH Shahu College of Engineering,Aurangabad
